client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1072	chunk_11.wav	aqui a minha volta comigo me relaciono que que eu quero do mundo	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1070	chunk_9.wav	as coisas estão fora do meu alcance eu tenho que entender	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1067	chunk_6.wav	ela que abre um campo para aprender	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1061	chunk_0.wav	eu não permito que minha razão se meta explicar o que ela não é capaz de alcançar	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1069	chunk_8.wav	eu não preciso explicar	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1076	chunk_15.wav	eu posso votar em qualquer lugares	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1066	chunk_5.wav	eu preciso conectar você não tem nenhum problema com ignorância	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1065	chunk_4.wav	Inferno para o resto da eternidade	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1077	chunk_16.wav	na minha vida e vou ser bem recebido	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1074	chunk_13.wav	que sentimento provoca mais pessoas à minha volta	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1073	chunk_12.wav	que sentimentos o que dizem de mim	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1075	chunk_14.wav	tem o prazer de saber	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1062	chunk_1.wav	um abraço com a ignorância para não cair no ridículo	2	0		Male		pt	
79a96e48cfd0df68d88a40311f0fbf048083c3602739018763e153048e4cb332406753a7fa391287b814c5dea7672b7b36cd35ed19d0b64b168da7c94477c1063	chunk_2.wav	vídeo vai ficar explicando dentro de casa eu conseguindo inconcebível e você acaba tendo que você acredita	2	0		Male		pt	